PARQUE,ParqueURI,ESPECIE,EspecieURI,UNIDADES 2019
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Prunus cerasifera subsp. Pissartii,PrunusCerasiferaSubsp.Pissartii,317
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Celtis australis,CeltisAustralis,288
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Cedrus atlantica,CedrusAtlantica,268
Parque Del Oeste- Templo De Debod,ParqueDelOeste-TemploDeDebod,Otros,Otros,2490
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Cedrus deodara,CedrusDeodara,55
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Acer negundo,AcerNegundo,18
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Prunus cerasifera pisardii,PrunusCerasiferaPisardii,7
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Thuja occidentalis,ThujaOccidentalis,7
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Populus alba bolleana,PopulusAlbaBolleana,5
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Ligustrum japonicum,LigustrumJaponicum,3
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Quercus robur,QuercusRobur,3
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Betula utilis,BetulaUtilis,2
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Cedrus libani,CedrusLibani,2
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),Cedrus atlantica 'Glauca',Cedrus atlantica 'glauca',2
Rosaleda De Madrid (parque Del Oeste),RosaledaDeMadrid(parqueDelOeste),OTROS,Otros,11
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Platanus x hybrida,PlatanusXHybrida,127
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Ligustrum lucidum,LigustrumLucidum,39
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Cupressus sempervirens,CupressusSempervirens,33
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Taxus baccata,TaxusBaccata,30
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Magnolia grandiflora,MagnoliaGrandiflora,9
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Cedrus deodara,CedrusDeodara,8
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Cupressus macrocarpa,CupressusMacrocarpa,7
Jardines Pza De Oriente-jardín Del Cabo Noval-jardín De Lepanto,JardinesPzaDeOriente-jardínDelCaboNoval-jardínDeLepanto,Pinus halepensis,PinusHalepensis,1
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Populus nigra,PopulusNigra,3961
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Pinus pinea,PinusPinea,3143
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Celtis australis,CeltisAustralis,2105
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Fraxinus angustifolia,FraxinusAngustifolia,1128
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Platanus hybrida,PlatanusHybrida,634
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Olea europaea,OleaEuropaea,499
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Salix alba,SalixAlba,446
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Cupressus sempervirens,CupressusSempervirens,409
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Tilia platyphyllos,TiliaPlatyphyllos,271
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Gleditsia triacanthos,GleditsiaTriacanthos,250
Parque Lineal Del Manzanares,ParqueLinealDelManzanares,Otros,Otros,2464
Jardines De Sabatini,JardinesDeSabatini,Cupressus sempervirens,CupressusSempervirens,85
Jardines De Sabatini,JardinesDeSabatini,Pinus pinea,PinusPinea,52
Jardines De Sabatini,JardinesDeSabatini,Acer negundo,AcerNegundo,26
Jardines De Sabatini,JardinesDeSabatini,Cedrus deodara,CedrusDeodara,22
Jardines De Sabatini,JardinesDeSabatini,Magnolia grandiflora,MagnoliaGrandiflora,16
Jardines De Sabatini,JardinesDeSabatini,Abies nordmanniana,AbiesNordmanniana,8
Jardines De Sabatini,JardinesDeSabatini,Thuja occidentalis,ThujaOccidentalis,5
Jardines De Sabatini,JardinesDeSabatini,Acer pseudoplatanus,AcerPseudoplatanus,3
Jardines De Sabatini,JardinesDeSabatini,Cercis siliquastrum,CercisSiliquastrum,1
Jardines De Sabatini,JardinesDeSabatini,Ulmus minor,UlmusMinor,1
Jardines De Sabatini,JardinesDeSabatini,Otros,Otros,1
Parque Forestal Valdebebas,ParqueForestalValdebebas,Celtis australis,CeltisAustralis,1630
Parque Forestal Valdebebas,ParqueForestalValdebebas,Morus alba 'Fruitless',MorusAlba'fruitless',393
Parque Forestal Valdebebas,ParqueForestalValdebebas,Populus nigra var. Italica,Populus nigra var. italica,375
Parque Forestal Valdebebas,ParqueForestalValdebebas,Koelreuteria paniculata,KoelreuteriaPaniculata,342
Parque Forestal Valdebebas,ParqueForestalValdebebas,Fraxinus angustifolia,FraxinusAngustifolia,209
Parque Forestal Valdebebas,ParqueForestalValdebebas,Olea europaea,OleaEuropaea,159
Parque Forestal Valdebebas,ParqueForestalValdebebas,Prunus amygdalus,PrunusAmygdalus,139
Parque Forestal Valdebebas,ParqueForestalValdebebas,Pinus pinea,PinusPinea,136
Parque Forestal Valdebebas,ParqueForestalValdebebas,Cercis siliquastrum,CercisSiliquastrum,119
Parque Forestal Valdebebas,ParqueForestalValdebebas,Aesculus hippocastanum,AesculusHippocastanum,112
Parque Forestal Valdebebas,ParqueForestalValdebebas,Otros,Otros,2210
Casa De Campo,CasaDeCampo,Pinus pinea,PinusPinea,301689
Casa De Campo,CasaDeCampo,Quercus ilex,QuercusIlex,208792
Casa De Campo,CasaDeCampo,Cupresus arizonica,CupresusArizonica,33826
Casa De Campo,CasaDeCampo,Ulmus sp,UlmusSp,30758
Casa De Campo,CasaDeCampo,Fraxinus angustifolia,FraxinusAngustifolia,13575
Casa De Campo,CasaDeCampo,Pinus halepensis,PinusHalepensis,9081
Casa De Campo,CasaDeCampo,Cupresus sempervirens,CupresusSempervirens,3686
Casa De Campo,CasaDeCampo,Salix sp.,SalixSp.,1493
Casa De Campo,CasaDeCampo,Populus nigra,PopulusNigra,1263
Casa De Campo,CasaDeCampo,Acer negundo,AcerNegundo,922
Casa De Campo,CasaDeCampo,Otros,Otros,66751
,,,,785732
