PARQUE,wikidataPARQUE,ESPECIE,wikidataESPECIE,UNIDADES,PARQUEURI,ARBOLURI
Manzanares Park,https://www.wikidata.org/wiki/Q6062319,Other,https://www.wikidata.org/wiki/Q86630688,2464,ParqueManzanares,
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Cupressus sempervirens,https://www.wikidata.org/wiki/Q147513,85,JardinesSabatini,CupressusS
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Pinus pinea,https://www.wikidata.org/wiki/Q106094,52,JardinesSabatini,PinusP
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Acer negundo,https://www.wikidata.org/wiki/Q161166,26,JardinesSabatini,AcerN
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Cedrus deodara,https://www.wikidata.org/wiki/Q146935,22,JardinesSabatini,CedrusD
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Magnolia grandiflora,https://www.wikidata.org/wiki/Q161116,16,JardinesSabatini,MagnoliaG
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Abies nordmanniana,https://www.wikidata.org/wiki/Q148920,8,JardinesSabatini,AbiesN
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Thuja occidentalis,https://www.wikidata.org/wiki/Q147468,5,JardinesSabatini,ThujaO
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Acer pseudoplatanus,https://www.wikidata.org/wiki/Q156944,3,JardinesSabatini,AcerP
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Judas tree,https://www.wikidata.org/wiki/Q29488,1,JardinesSabatini,CercisS
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Ulmus minor,https://www.wikidata.org/wiki/Q147487,1,JardinesSabatini,UlmusM
Sabatini Gardens,https://www.wikidata.org/wiki/Q2419365,Other,https://www.wikidata.org/wiki/Q86630688,1,JardinesSabatini,
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Celtis australis,https://www.wikidata.org/wiki/Q255375,1630,ParqueValdebebas,CeltisA
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Morus alba,https://www.wikidata.org/wiki/Q157307,393,ParqueValdebebas,MorusA
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Populus nigra var. italica,https://www.wikidata.org/wiki/Q3377825,375,ParqueValdebebas,PopulusNItalica
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Koelreuteria paniculata,https://www.wikidata.org/wiki/Q844835,342,ParqueValdebebas,KoelreuteriaP
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Fraxinus angustifolia,https://www.wikidata.org/wiki/Q518949,209,ParqueValdebebas,FraxinusA
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Olea europaea,https://www.wikidata.org/wiki/Q37083,159,ParqueValdebebas,OleaE
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Prunus amygdalus,https://www.wikidata.org/wiki/Q15545507,139,ParqueValdebebas,PrunusA
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Pinus pinea,https://www.wikidata.org/wiki/Q106094,136,ParqueValdebebas,PinusP
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Judas tree,https://www.wikidata.org/wiki/Q29488,119,ParqueValdebebas,CercisS
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Aesculus hippocastanum,https://www.wikidata.org/wiki/Q26899,112,ParqueValdebebas,AesculusH
Felipe VI Park,https://www.wikidata.org/wiki/Q6062702,Other,https://www.wikidata.org/wiki/Q86630688,2210,ParqueValdebebas,
