"p","callret-1"
"http://es.dbpedia.org/property/nombreBatalla",1
"http://es.dbpedia.org/property/afi",3
"http://es.dbpedia.org/property/carg",1
"http://es.dbpedia.org/property/colega",3
"http://dbpedia.org/ontology/country",120
"http://es.dbpedia.org/property/magister",1
"http://es.dbpedia.org/property/lugarDeDesaparición",1
"http://es.dbpedia.org/property/premier",6
"http://es.dbpedia.org/property/textoimagen",25
"http://es.dbpedia.org/property/excónyuge",1
"http://dbpedia.org/ontology/child",1220
"http://es.dbpedia.org/property/apellidosEditor",11
"http://es.dbpedia.org/property/des",1
"http://es.dbpedia.org/property/nombreEnCastellano",4
"http://es.dbpedia.org/property/escudo2puta",1
"http://es.dbpedia.org/property/archivedate",11
"http://es.dbpedia.org/property/escudo",4212
"http://es.dbpedia.org/property/votosNulos",1
"http://es.dbpedia.org/property/premiosAntenaDeOro",1
"http://es.dbpedia.org/property/porcentaje",19
"http://es.dbpedia.org/property/urlcapítulo",5
"http://es.dbpedia.org/property/fechaFallecimiento",4
"http://es.dbpedia.org/property/campo",2
"http://es.dbpedia.org/property/lugarDeFallecimineto",1
"http://xmlns.com/foaf/0.1/name",23742
"http://es.dbpedia.org/property/añoTesis",6
"http://es.dbpedia.org/property/función",4
"http://es.dbpedia.org/property/vicesecretariaGeneralDeEstudiosYProgramasDelPartidoPopular",1
"http://es.dbpedia.org/property/enlaceAutor",5
"http://es.dbpedia.org/property/mostrarEscaños",1
"http://es.dbpedia.org/property/tipoextra",1
"http://dbpedia.org/ontology/profession",881
"http://es.dbpedia.org/property/títuloSuperior",1
"http://es.dbpedia.org/property/colorDeOjos",5
"http://es.dbpedia.org/property/situaciónSentimental",1
"http://es.dbpedia.org/property/antecesor",9
"http://es.dbpedia.org/property/fechaDeFallecimiento",860
"http://es.dbpedia.org/property/estudiosPrimariosYSecundarios",1
"http://es.dbpedia.org/property/alamaMater",1
"http://es.dbpedia.org/property/nombrereal",1
"http://es.dbpedia.org/property/primeraDama",2
"http://es.dbpedia.org/property/programas",9
"http://es.dbpedia.org/property/piefirma",1
"http://es.dbpedia.org/property/df",1
"http://es.dbpedia.org/property/labelSize",1
"http://es.dbpedia.org/property/3data",71
"http://es.dbpedia.org/property/general",1
"http://es.dbpedia.org/property/birthname",2
"http://es.dbpedia.org/property/legislatura",2
"http://es.dbpedia.org/property/year",89
"http://es.dbpedia.org/property/viceprimerministra",1
"http://es.dbpedia.org/property/obrasNotables",12
"http://es.dbpedia.org/property/2a",31
"http://es.dbpedia.org/property/tenienteDeAlcalde",1
"http://dbpedia.org/ontology/nationality",254
"http://es.dbpedia.org/property/causaDeFallecimiento",2
"http://es.dbpedia.org/property/kNom",1
"http://es.dbpedia.org/property/suceso",3
"http://es.dbpedia.org/property/tamañoimagen",10
"http://es.dbpedia.org/property/partidoPolítico",300
"http://es.dbpedia.org/property/gabinete",104
"http://es.dbpedia.org/property/junetoa",1
"http://es.dbpedia.org/property/predecesor4&nbsp;&nbsp;_",1
"http://es.dbpedia.org/property/parttido",1
"http://es.dbpedia.org/property/situaciónPenal",32
"http://dbpedia.org/ontology/militaryBranch",1
"http://es.dbpedia.org/property/secretarioGeneral",2
"http://es.dbpedia.org/property/partidopolitico",1
"http://es.dbpedia.org/property/nombrename",37
"http://es.dbpedia.org/property/d",1
"http://es.dbpedia.org/property/webPage",2
"http://es.dbpedia.org/property/nombreCorrecto",1
"http://es.dbpedia.org/property/año",274
