COD_VIA,VIA_CLASE,VIA_PAR,VIA_NOMBRE,VIA_NOMBRE_ACENTOS,DISTRITO
22250,CALLE,DE,ALDEANUEVA DE LA VERA,ALDEANUEVA DE LA VERA,10
22300,CALLE,DE,ALDEBARAN,ALDEBARÁN,9
1428,CALLE,DE,ALDONZA LORENZO,ALDONZA LORENZO,8
22500,CALLE,DE LA,ALEGRIA,ALEGRÍA,11
22800,CALLE,DE,ALEGRIA DE ORIA,ALEGRÍA DE ORIA,20
22900,CALLE,DE,ALEIXANDRE,ALEIXANDRE,15
23100,CALLE,DE,ALEJANDRINA MORAN,ALEJANDRINA MORÁN,10
23150,CALLE,DE,ALEJANDRO CASONA,ALEJANDRO CASONA,8
23200,CALLE,DE,ALEJANDRO CHACON,ALEJANDRO CHACÓN,15
31001895,AVENIDA,DE,ALEJANDRO DE LA SOTA,ALEJANDRO DE LA SOTA,16
31001895,AVENIDA,DE,ALEJANDRO DE LA SOTA,ALEJANDRO DE LA SOTA,21
31001895,AVENIDA,DE,ALEJANDRO DE LA SOTA,ALEJANDRO DE LA SOTA,21
23300,CALLE,DE,ALEJANDRO DUMAS,ALEJANDRO DUMAS,2
23400,CALLE,DE,ALEJANDRO FERRANT,ALEJANDRO FERRANT,2
23600,CALLE,DE,ALEJANDRO GONZALEZ,ALEJANDRO GONZÁLEZ,4
31000645,CALLE,DE,ALEJANDRO HUMBOLT,ALEJANDRO HUMBOLT,18
23700,CALLE,DE,ALEJANDRO MORAN,ALEJANDRO MORÁN,11
31000856,CALLE,DE,ALEJANDRO NAVARRO,ALEJANDRO NAVARRO,10
23900,CALLE,DE,ALEJANDRO RODRIGUEZ,ALEJANDRO RODRÍGUEZ,6
24000,CALLE,DE,ALEJANDRO SAINT AUBIN,ALEJANDRO SAINT AUBIN,2
24200,CALLE,DE,ALEJANDRO SANCHEZ,ALEJANDRO SÁNCHEZ,11
24300,TRAVESÍA,DE,ALEJANDRO SANCHEZ,ALEJANDRO SÁNCHEZ,11
24400,CALLE,DE,ALEJANDRO VILLEGAS,ALEJANDRO VILLEGAS,16
24500,CALLE,DE,ALEMANIA,ALEMANIA,6
24600,CALLE,DE,ALENZA,ALENZA,7
1029,CALLE,DEL,ALERCE,ALERCE,12
24700,CALLE,DE,ALESANCO,ALESANCO,9
2859,CALLE,,ALFA,ALFA,21
24900,CALLE,DE,ALFACAR,ALFACAR,16
25100,CALLE,DE LA,ALFALFA,ALFALFA,6
25200,CALLE,DE,ALFAMBRA,ALFAMBRA,5
25400,CALLE,DEL,ALFAR,ALFAR,9
177101,CALLE,DE LA,ALFARERIA,ALFARERÍA,9
