res_tra_registro_tipo,res_tra_razon_social,res_tra_nif,res_tra_direccion_tipo_vial,res_tra_direccion_via_nombre,res_tra_direccion_muni_desc,res_tra_direccion_cod_postal,res_tra_residuo_ler_desc
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"HIGIENE Y TECNOLOGIA AMBIENTAL, S.L.",B86857521,CALLE,DE LA VIRGEN DE LA FUENCISLA,Madrid,28027,"RESIDUOS CUYA RECOGIDA Y ELIMINACIÓN NO ES OBJETO DE REQUISITOS ESPECIALES PARA PREVENIR INFECCIONES (POR EJEMPLO, VENDAJES, VACIADOS DE YESO, ROPA BLANCA, ROPA DESECHABLE, PAÑALES)."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"TRANSPORTES GIL LLORENTE, S.L.",B86865813,CALLE,DE LOS CEDROS,Velilla de San Antonio,28891,ENVASES DE PAPEL Y CARTÓN.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"BERSANTE RECUPERACIONES, S.L.",B86886603,CALLE,DEL ÁLAMO,Fuenlabrada,28946,MADERA.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"GREDOMAR, S.L.",B86896511,PASEO,DE LOS TALLERES,Madrid,28021,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"PENINSULAR DE BATERIAS, S.L.",B86908399,CALLE,DE GRAN CANARIA,Humanes de Madrid,28970,BATERÍAS DE PLOMO.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"DERRIBOS MECANICOS Y MANUALES, S.L.",B86910130,CALLE,DE DAOÍZ,Getafe,28903,MEZCLAS BITUMINOSAS DISTINTAS DE LAS ESPECIFICADAS EN EL CÓDIGO 170301.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,EXCAVACIONES MIGUEL ANGEL MARTIN.  S.L.,B86916384,CALLE,LABRADORA,Santa María de la Alameda,28296,"MEZCLAS DE HORMIGÓN, LADRILLOS, TEJAS Y MATERIALES CERÁMICOS, DISTINTOS DE LAS ESPECIFICADAS EN EL CÓDIGO 17 01 06"
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"TECNIAGUA 2020, S.L.",B86919909,CALLE,DEL PLOMO,San Martín de la Vega,28330,LODOS Y RESIDUOS DE PERFORACIONES QUE CONTIENEN HIDROCARBUROS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"NEUCLAN, S.L.",B86932100,PLAZA,NAVARRA,Alcalá de Henares,28804,NEUMÁTICOS FUERA DE USO.
REGISTRO TRANSPORTISTAS RESIDUOS PELIGROSOS (INTERMEDIARIO),"REGRUEL, S.L.",B86934577,AVDA,DE LOS YESEROS,Valdemoro,28343,"ACEITES MINERALES NO CLORADOS DE MOTOR, DE TRANSMISIÓN MECÁNICA Y LUBRICANTES."
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"AHUSA TEXTIL, S.L.",B86950904,AVDA,DEL CAMPO HERMOSO,Humanes de Madrid,28970,TEJIDOS.
REGISTRO TRANSPORTISTAS RESIDUOS NO PELIGROSOS,"FÉRRICOS SÁNCHEZ, S.L.",B86973435,CALLE,DE LA AZUCENA,San Martín de Valdeiglesias,28680,LIMADURAS Y VIRUTAS DE METALES FÉRREOS.
