Centro_codigo,Actividad_extraexcolar_codigo,Actividad_extraexcolar_descrip
28021057,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28021215,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28021291,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28021318,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28021367,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28021422,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28021434,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28021549,150,PROGRAMA 4ºESO+EMPRESA
28021549,030,PROGRAMA REFUERZA
28021562,150,PROGRAMA 4ºESO+EMPRESA
28021690,150,PROGRAMA 4ºESO+EMPRESA
28021902,150,PROGRAMA 4ºESO+EMPRESA
28022207,150,PROGRAMA 4ºESO+EMPRESA
28022207,030,PROGRAMA REFUERZA
28022335,150,PROGRAMA 4ºESO+EMPRESA
28022414,150,PROGRAMA 4ºESO+EMPRESA
28022475,150,PROGRAMA 4ºESO+EMPRESA
28022499,150,PROGRAMA 4ºESO+EMPRESA
28022566,150,PROGRAMA 4ºESO+EMPRESA
28022797,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28022839,150,PROGRAMA 4ºESO+EMPRESA
28022891,150,PROGRAMA 4ºESO+EMPRESA
28022891,031,PROGRAMA ACOMPAÑAMIENTO Y APOYO ESCOLAR  EDUCACIÓN PRIMARIA
28023121,150,PROGRAMA 4ºESO+EMPRESA
