OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
48,4,332070,122,12-2,1,1,224,,466,14,TI,I,CONSERVATORIO,28,065,GETAFE,B1,Avda de las Arcas del Agua N 5,20030613,20030411,,1218.564,40.59,4,93_177,,,4__12_2____1_IT_1_4_224__466_TI_I_14,,,,4__12_2__,4__12_2____1_IT_1,4_224,4_224_,4_224_466
49,4,332069,121,12-1,1,1,225,,467,17,TI,I,ALONSO DE MENDOZA,28,065,GETAFE,B1,Calle del Greco N 6,20030613,20030411,,1215.894,40.53,4,93_132,,,4__12_1____1_IT_1_4_225__467_TI_I_17,,,,4__12_1__,4__12_1____1_IT_1,4_225,4_225_,4_225_467
50,4,332070,122,12-2,1,1,225,,468,13,TI,I,ALONSO DE MENDOZA,28,065,GETAFE,B1,Calle del Greco N 6,20030613,20030411,,1311.296,40.59,4,93_132,,,4__12_2____1_IT_1_4_225__468_TI_I_13,,,,4__12_2__,4__12_2____1_IT_1,4_225,4_225_,4_225_468
51,4,332069,121,12-1,1,1,226,,469,18,TI,I,GETAFE CENTRAL,28,065,GETAFE,B1,Calle  Ferrocarril N 2,20030613,20030411,,1319.163,40.53,4,92_92,,,4__12_1____1_IT_1_4_226__469_TI_I_18,,,,4__12_1__,4__12_1____1_IT_1,4_226,4_226_,4_226_469
52,4,332070,122,12-2,1,1,226,,470,12,TI,I,GETAFE CENTRAL,28,065,GETAFE,B1,Calle  Ferrocarril N 2,20030613,20030411,,1328.239,40.59,4,92_92,,,4__12_2____1_IT_1_4_226__470_TI_I_12,,,,4__12_2__,4__12_2____1_IT_1,4_226,4_226_,4_226_470
53,4,332070,122,12-2,1,1,227,,472,11,TI,I,JUAN DE LA CIERVA,28,065,GETAFE,B1,Avda de España N 20,20030613,20030411,,1577.403,40.59,4,93_241,,,4__12_2____1_IT_1_4_227__472_TI_I_11,,,,4__12_2__,4__12_2____1_IT_1,4_227,4_227_,4_227_472
54,4,332069,121,12-1,1,1,227,,471,19,TI,I,JUAN DE LA CIERVA,28,065,GETAFE,B1,Avda de España N 20,20030613,20030411,,1323.72,40.53,4,93_241,,,4__12_1____1_IT_1_4_227__471_TI_I_19,,,,4__12_1__,4__12_1____1_IT_1,4_227,4_227_,4_227_471
55,4,332070,122,12-2,1,1,228,,474,10,TI,I,EL CASAR,28,065,GETAFE,B1,Avda del Casar N 2,20030613,20030411,,819.974,40.59,4,92_93,,,4__12_2____1_IT_1_4_228__474_TI_I_10,,,,4__12_2__,4__12_2____1_IT_1,4_228,4_228_,4_228_474
56,4,332069,121,12-1,1,1,228,,473,20,TI,I,EL CASAR,28,065,GETAFE,B1,Avda del Casar N 2,20030613,20030411,,1572.088,40.53,4,92_93,,,4__12_1____1_IT_1_4_228__473_TI_I_20,,,,4__12_1__,4__12_1____1_IT_1,4_228,4_228_,4_228_473
57,4,332070,122,12-2,1,1,229,,476,9,TI,I,LOS ESPARTALES,28,065,GETAFE,B1,Avda   Rigoberta Menchú N 3,20030613,20030411,,1199.174,40.59,4,93_261,,,4__12_2____1_IT_1_4_229__476_TI_I_9,,,,4__12_2__,4__12_2____1_IT_1,4_229,4_229_,4_229_476
58,4,332069,121,12-1,1,1,229,,475,21,TI,I,LOS ESPARTALES,28,065,GETAFE,B1,Avda   Rigoberta Menchú N 3,20030613,20030411,,817.647,40.53,4,93_261,,,4__12_1____1_IT_1_4_229__475_TI_I_21,,,,4__12_1__,4__12_1____1_IT_1,4_229,4_229_,4_229_475
59,4,332070,122,12-2,1,1,230,,478,8,TI,I,EL BERCIAL,28,065,GETAFE,B1,Avda   Comandante José Manuel Ripollés N 4,20030613,20030411,,1550.37,40.59,4,93_201,,,4__12_2____1_IT_1_4_230__478_TI_I_8,,,,4__12_2__,4__12_2____1_IT_1,4_230,4_230_,4_230_478
60,4,332069,121,12-1,1,1,230,,477,22,TI,I,EL BERCIAL,28,065,GETAFE,B1,Avda   Comandante José Manuel Ripollés N 4,20030613,20030411,,1199.883,40.53,4,93_201,,,4__12_1____1_IT_1_4_230__477_TI_I_22,,,,4__12_1__,4__12_1____1_IT_1,4_230,4_230_,4_230_477
61,4,332070,122,12-2,1,1,231,,480,7,TI,I,EL CARRASCAL,28,074,LEGANES,B1,Avda   Rey Juan Carlos I N 85,20030613,20030411,,1056.813,40.59,4,93_204,,,4__12_2____1_IT_1_4_231__480_TI_I_7,,,,4__12_2__,4__12_2____1_IT_1,4_231,4_231_,4_231_480
